ID,Tipo,SKU,Nombre,"¿En inventario?",Inventario
14616,simple,8703004##,"Pistolera interna de Gamuza con Fleje",0,0
14620,variable,8708100##,"Mochila Táctica Patrulla 30 litros",0,
14621,variation,8708100#04#,"Mochila Táctica Patrulla 30 litros - 04. Woodland",0,0
14627,variation,8708100#06#,"Mochila Táctica Patrulla 30 litros - 06. Verde",0,0
14633,variation,8708100#09#,"Mochila Táctica Patrulla 30 litros - 09. Negro",0,0
14638,variation,8708100#21#,"Mochila Táctica Patrulla 30 litros - 21. Selva Negra",0,0
14642,simple,8703703##,"Funda de Cuero con Fleje",0,0
14646,simple,8703601##,"Funda Interna de Poliamida con Fleje",0,0
14650,simple,5101013##,"Capa para Lluvia",0,0
14661,variable,5101190##,"Campera Neo SoftShell Azul",0,
14662,variation,5101190##XXS,"Campera Neo SoftShell Azul - XXS",0,0
14667,variation,5101190##XS,"Campera Neo SoftShell Azul - XS",0,0
14668,variation,5101190##S,"Campera Neo SoftShell Azul - S",0,0
14669,variation,5101190##M,"Campera Neo SoftShell Azul - M",0,0
14670,variation,5101190##L,"Campera Neo SoftShell Azul - L",0,0
14671,variation,5101190##XL,"Campera Neo SoftShell Azul - XL",0,0
14672,variation,5101190##XXL,"Campera Neo SoftShell Azul - XXL",0,0
14673,simple,8703504##,"Pistolera Termo Formada Táctica Regulable T504",0,0
14680,variable,8703036##,"Pistolera de Cuero Panquequera Corta",0,
14681,variation,8703036##BER,"Pistolera de Cuero Panquequera Corta - BER",0,0
14687,variation,8703036##BRO,"Pistolera de Cuero Panquequera Corta - BRO",0,0
14688,variation,8703036##TAU,"Pistolera de Cuero Panquequera Corta - TAU",0,0
14689,variable,2601003##,"Tricota polar Negra",1,
14690,variation,2601003##XXS,"Tricota polar Negra - XXS",0,0
14699,variation,2601003##XS,"Tricota polar Negra - XS",0,0
14700,variation,2601003##S,"Tricota polar Negra - S",0,0
14701,variation,2601003##M,"Tricota polar Negra - M",1,33
14702,variation,2601003##L,"Tricota polar Negra - L",0,0
14703,variation,2601003##XL,"Tricota polar Negra - XL",0,0
14704,variation,2601003##XXL,"Tricota polar Negra - XXL",0,0
14705,variation,2601003##3XL,"Tricota polar Negra - 3XL",0,0
14706,variation,2601003##4XL,"Tricota polar Negra - 4XL",0,0
14707,variation,2601003##5XL,"Tricota polar Negra - 5XL",0,0
14708,variation,2601003##3XS,"Tricota polar Negra - 3XS",0,0
14709,variable,2301048##,"Tricota con Cuello Polera Forrada Negra",0,
14710,variation,2301048##XXS,"Tricota con Cuello Polera Forrada Negra - XXS",0,0
14714,variation,2301048##XS,"Tricota con Cuello Polera Forrada Negra - XS",0,0
14715,variation,2301048##S,"Tricota con Cuello Polera Forrada Negra - S",0,0
14716,variation,2301048##M,"Tricota con Cuello Polera Forrada Negra - M",0,0
14717,variation,2301048##L,"Tricota con Cuello Polera Forrada Negra - L",0,0
14718,variation,2301048##XL,"Tricota con Cuello Polera Forrada Negra - XL",0,0
14719,variation,2301048##XXL,"Tricota con Cuello Polera Forrada Negra - XXL",0,0
14720,variation,2301048##3XL,"Tricota con Cuello Polera Forrada Negra - 3XL",0,0
14721,variation,2301048##4XL,"Tricota con Cuello Polera Forrada Negra - 4XL",0,0
14722,variation,2301048##5XL,"Tricota con Cuello Polera Forrada Negra - 5XL",0,0
14723,variation,2301048##3XS,"Tricota con Cuello Polera Forrada Negra - 3XS",0,0
14724,variable,2301900##,"Tricota con Cuello Redondo Forrada Negra",0,
14725,variation,2301900##XXS,"Tricota con Cuello Redondo Forrada Negra - XXS",0,0
14728,variation,2301900##XS,"Tricota con Cuello Redondo Forrada Negra - XS",0,0
14729,variation,2301900##S,"Tricota con Cuello Redondo Forrada Negra - S",0,0
14730,variation,2301900##M,"Tricota con Cuello Redondo Forrada Negra - M",0,0
14731,variation,2301900##L,"Tricota con Cuello Redondo Forrada Negra - L",0,0
14732,variation,2301900##XL,"Tricota con Cuello Redondo Forrada Negra - XL",0,0
14733,variation,2301900##XXL,"Tricota con Cuello Redondo Forrada Negra - XXL",0,0
14734,variation,2301900##3XL,"Tricota con Cuello Redondo Forrada Negra - 3XL",0,0
14735,variation,2301900##4XL,"Tricota con Cuello Redondo Forrada Negra - 4XL",0,0
14736,variation,2301900##5XL,"Tricota con Cuello Redondo Forrada Negra - 5XL",0,0
14737,variation,2301900##3XS,"Tricota con Cuello Redondo Forrada Negra - 3XS",0,0
14738,variable,2301046##,"Tricota Escote en V Negra",0,
14739,variation,2301046##XXS,"Tricota Escote en V Negra - XXS",0,0
14740,variation,2301046##XS,"Tricota Escote en V Negra - XS",0,0
14741,variation,2301046##S,"Tricota Escote en V Negra - S",0,0
14742,variation,2301046##M,"Tricota Escote en V Negra - M",0,0
14743,variation,2301046##L,"Tricota Escote en V Negra - L",0,0
14744,variation,2301046##XL,"Tricota Escote en V Negra - XL",0,0
14745,variation,2301046##XXL,"Tricota Escote en V Negra - XXL",0,0
14746,variation,2301046##3XL,"Tricota Escote en V Negra - 3XL",0,0
14747,variation,2301046##4XL,"Tricota Escote en V Negra - 4XL",0,0
14748,variable,1120450##,"Breeches Montada Caballería Negro T:34-48",0,
14749,variation,1120450##36,"Breeches Montada Caballería Negro T:34-48 - 36",0,0
14755,variation,1120450##38,"Breeches Montada Caballería Negro T:34-48 - 38",0,0
14756,variation,1120450##40,"Breeches Montada Caballería Negro T:34-48 - 40",0,0
14757,variation,1120450##42,"Breeches Montada Caballería Negro T:34-48 - 42",0,0
14758,variation,1120450##44,"Breeches Montada Caballería Negro T:34-48 - 44",0,0
14759,variation,1120450##46,"Breeches Montada Caballería Negro T:34-48 - 46",0,0
14760,variation,1120450##48,"Breeches Montada Caballería Negro T:34-48 - 48",0,0
14761,variable,1120280##,"Pantalón de Vestir Negro T:34-48",0,
14762,variation,1120280##34,"Pantalón de Vestir Negro T:34-48 - 34",0,0
14766,variation,1120280##36,"Pantalón de Vestir Negro T:34-48 - 36",0,0
14767,variation,1120280##38,"Pantalón de Vestir Negro T:34-48 - 38",0,0
14768,variation,1120280##40,"Pantalón de Vestir Negro T:34-48 - 40",0,0
14769,variation,1120280##42,"Pantalón de Vestir Negro T:34-48 - 42",0,0
14770,variation,1120280##44,"Pantalón de Vestir Negro T:34-48 - 44",0,0
14771,variation,1120280##46,"Pantalón de Vestir Negro T:34-48 - 46",0,0
14772,variation,1120280##48,"Pantalón de Vestir Negro T:34-48 - 48",0,0
14773,variable,5101011##,"Campera Corta Cuello desmontable Negra",0,
14774,variation,5101011##L,"Campera Corta Cuello desmontable Negra - L",0,0
14780,variation,5101011##XXS,"Campera Corta Cuello desmontable Negra - XXS",0,0
14785,variation,5101011##XS,"Campera Corta Cuello desmontable Negra - XS",0,0
14786,variation,5101011##XL,"Campera Corta Cuello desmontable Negra - XL",0,0
14792,variation,5101011##XXL,"Campera Corta Cuello desmontable Negra - XXL",0,0
14793,variation,5101011##S,"Campera Corta Cuello desmontable Negra - S",0,0
14798,variation,5101011##M,"Campera Corta Cuello desmontable Negra - M",0,0
14799,variation,5101011##3XL,"Campera Corta Cuello desmontable Negra - 3XL",0,0
14803,variation,5101011##4XL,"Campera Corta Cuello desmontable Negra - 4XL",0,0
14804,variation,5101011##5XL,"Campera Corta Cuello desmontable Negra - 5XL",0,0
14805,variation,5101011##3XS,"Campera Corta Cuello desmontable Negra - 3XS",0,0
14806,variable,5101999##,"Campera Palmaj Azul T:XXS-XXL",0,
14807,variation,5101999##XS,"Campera Palmaj Azul T:XXS-XXL - XS",0,0
14812,variation,5101999##S,"Campera Palmaj Azul T:XXS-XXL - S",0,0
14813,variation,5101999##M,"Campera Palmaj Azul T:XXS-XXL - M",0,0
14814,variation,5101999##L,"Campera Palmaj Azul T:XXS-XXL - L",0,0
14815,variation,5101999##XL,"Campera Palmaj Azul T:XXS-XXL - XL",0,0
14816,variation,5101999##XXL,"Campera Palmaj Azul T:XXS-XXL - XXL",0,0
14824,variation,5101999##3XS,"Campera Palmaj Azul T:XXS-XXL - 3XS",0,0
14825,variation,5101999##XXS,"Campera Palmaj Azul T:XXS-XXL - XXS",0,0
14831,variable,5101171##,"Campera Polar Americana Negra",0,
14832,variation,5101171##XXS,"Campera Polar Americana Negra - XXS",0,0
14834,variation,5101171##XS,"Campera Polar Americana Negra - XS",0,0
14835,variation,5101171##S,"Campera Polar Americana Negra - S",0,0
14836,variation,5101171##M,"Campera Polar Americana Negra - M",0,0
14837,variation,5101171##L,"Campera Polar Americana Negra - L",0,0
14840,variation,5101171##XL,"Campera Polar Americana Negra - XL",0,0
14841,variation,5101171##XXL,"Campera Polar Americana Negra - XXL",0,0
14842,variation,5101171##3XL,"Campera Polar Americana Negra - 3XL",0,0
14843,variable,5101556##,"Camperón Térmico Negro",0,
14844,variation,5101556##M,"Camperón Térmico Negro - M",0,0
14861,variation,5101556##L,"Camperón Térmico Negro - L",0,0
14862,variation,5101556##XL,"Camperón Térmico Negro - XL",0,0
14863,variable,5101900##,"Campera rompeviento Negra T:2XS-2XL",1,
14864,variation,5101900##3XS,"Campera rompeviento Negra T:2XS-2XL - 3XS",0,0
14869,variation,5101900##XXS,"Campera rompeviento Negra T:2XS-2XL - XXS",1,20
14870,variation,5101900##XS,"Campera rompeviento Negra T:2XS-2XL - XS",1,10
14871,variation,5101900##S,"Campera rompeviento Negra T:2XS-2XL - S",1,16
14872,variation,5101900##M,"Campera rompeviento Negra T:2XS-2XL - M",0,1
14873,variation,5101900##L,"Campera rompeviento Negra T:2XS-2XL - L",1,9
14874,variation,5101900##XL,"Campera rompeviento Negra T:2XS-2XL - XL",1,8
14875,variation,5101900##XXL,"Campera rompeviento Negra T:2XS-2XL - XXL",0,0
14876,variable,1130254##,"Mameluco Térmico Negro T:XXS-XL",1,
14877,variation,1130254##XXS,"Mameluco Térmico Negro T:XXS-XL - XXS",0,0
14893,variation,1130254##XS,"Mameluco Térmico Negro T:XXS-XL - XS",1,7
14894,variation,1130254##S,"Mameluco Térmico Negro T:XXS-XL - S",1,7
14895,variation,1130254##M,"Mameluco Térmico Negro T:XXS-XL - M",1,19
14896,variation,1130254##L,"Mameluco Térmico Negro T:XXS-XL - L",1,8
14897,variation,1130254##XL,"Mameluco Térmico Negro T:XXS-XL - XL",1,4
14898,variable,1130495##,"Overall Multibolsillo de Rip Stop Azul Noche",1,
14899,variation,1130495##XS,"Overall Multibolsillo de Rip Stop Azul Noche - XS",1,18
14904,variation,1130495##S,"Overall Multibolsillo de Rip Stop Azul Noche - S",0,0
14905,variation,1130495##M,"Overall Multibolsillo de Rip Stop Azul Noche - M",0,0
14906,variation,1130495##L,"Overall Multibolsillo de Rip Stop Azul Noche - L",0,0
14907,variation,1130495##XL,"Overall Multibolsillo de Rip Stop Azul Noche - XL",0,0
14908,variation,1130495##XXL,"Overall Multibolsillo de Rip Stop Azul Noche - XXL",0,0
14909,variable,8205020##,"Botín de seguridad Prusiano Negro",1,
14910,variation,8205020##40,"Botín de seguridad Prusiano Negro - 40",0,0
14915,variation,8205020##41,"Botín de seguridad Prusiano Negro - 41",1,3
14916,variation,8205020##42,"Botín de seguridad Prusiano Negro - 42",0,0
14917,variation,8205020##43,"Botín de seguridad Prusiano Negro - 43",0,0
14918,variation,8205020##44,"Botín de seguridad Prusiano Negro - 44",0,1
14919,variation,8205020##45,"Botín de seguridad Prusiano Negro - 45",0,0
14920,variation,8205020##46,"Botín de seguridad Prusiano Negro - 46",0,0
14921,variable,5101500##,"Garibaldina Rip Jazak Azul T:2XS-2XL",0,
14922,variation,5101500##XXS,"Garibaldina Rip Jazak Azul T:2XS-2XL - XXS",0,0
14928,variation,5101500##XS,"Garibaldina Rip Jazak Azul T:2XS-2XL - XS",0,0
